Bathrooms,Bedrooms,Erf Size,Garages,Price,Type of Property,city,no_year,Size_meters_Square
2.0,3.0,119.0,1.0,1100000.0,0,1,1,119
2.0,3.0,157.0,2.0,2300000.0,0,1,1,157
4.0,5.0,450.0,2.0,6450000.0,1,1,2,450
2.0,3.0,163.0,2.0,1985000.0,0,1,1,163
3.0,5.0,315.0,2.0,4790000.0,1,1,2,315
2.0,4.0,1166.0,2.0,3250000.0,1,1,1,1166
4.0,5.0,0.0,2.0,6500000.0,1,1,1,0
2.0,3.0,196.0,2.0,2170000.0,0,1,2,196
2.0,3.0,1447.0,2.0,1475000.0,1,1,1,1447
4.0,4.0,1280.0,2.0,2900000.0,1,1,2,1280
2.0,2.0,130.0,1.0,1995000.0,0,1,2,130
3.0,5.0,500.0,2.0,3149000.0,1,1,2,500
2.0,3.0,379.0,2.0,2250000.0,1,1,2,379
3.0,3.0,0.0,2.0,2100000.0,1,1,1,0
3.0,3.0,1539.0,4.0,4500000.0,1,1,3,1539
2.0,3.0,318.0,2.0,1180000.0,0,1,1,318
1.0,3.0,135.0,1.0,1049000.0,1,1,1,135
2.0,4.0,2285.0,2.0,1650000.0,1,1,2,2285
2.0,3.0,130.0,2.0,1499000.0,0,1,1,130
4.0,6.0,1072.0,2.0,2645000.0,1,1,1,1072
3.0,4.0,1052.0,2.0,2999999.0,1,1,1,1052
1.0,3.0,1000.0,1.0,1080500.0,1,1,1,1000
2.0,3.0,165.0,3.0,1800000.0,0,1,1,165
1.0,2.0,68.0,1.0,780000.0,0,1,4,68
2.0,3.0,1000.0,2.0,1999000.0,1,1,1,1000
4.0,4.0,400.0,2.0,6450000.0,1,1,6,400
3.0,6.0,400.0,3.0,3900000.0,1,1,2,400
2.0,3.0,0.0,2.0,1350000.0,1,1,1,0
1.0,4.0,712.0,2.0,1095000.0,1,1,1,712
2.0,3.0,0.0,1.0,1495000.0,1,1,2,0
3.0,5.0,0.0,4.0,3700000.0,1,1,1,0
2.0,4.0,440.0,2.0,2950000.0,1,1,1,440
2.0,2.0,0.0,1.0,1195000.0,0,1,1,0
1.0,2.0,0.0,1.0,1080000.0,0,1,1,0
2.0,3.0,107.0,1.0,1300000.0,0,1,1,107
2.0,2.0,0.0,1.0,1250000.0,0,1,1,0
2.0,3.0,260.0,2.0,2199000.0,1,1,2,260
4.0,5.0,453.0,2.0,2100000.0,0,1,1,453
2.0,3.0,0.0,2.0,1950000.0,1,1,1,0
2.0,4.0,0.0,2.0,1920000.0,1,1,1,0
2.0,4.0,0.0,4.0,3750000.0,1,1,1,0
3.0,4.0,0.0,2.0,2299000.0,1,1,1,0
2.0,4.0,978.0,3.0,1375000.0,1,1,1,978
3.0,5.0,1914.0,8.0,3599000.0,1,1,1,1914
4.0,6.0,626.0,3.0,3750000.0,1,1,1,626
2.0,3.0,0.0,1.0,1795000.0,1,1,1,0
2.0,3.0,0.0,2.0,1895000.0,0,1,1,0
2.0,4.0,0.0,3.0,1850000.0,1,1,1,0
